traditional,simplified,pronunciation,audio,radical,definitions,pos
作孽,作孽,tsok-gia̍t,2955,,調皮、搗蛋。惡作劇。,動
作家,作家,tsok-ka,2928,,從事文學創作的人。,名
作弄,作弄,tsok-lōng,2910,,戲弄、捉弄。,動
作弊,作弊,tsok-pè,2945,,用不正當的方法取得不法的利益。一般多指考試的不法行為。,動
作怪,作怪,tsok-kuài,2911,,胡鬧、搞鬼。|妖魔鬼怪在作祟。,動|動
作戰,作战,tsok-tsiàn,2948,,指戰鬥、打仗等一切軍事行動。,動
作文,作文,tsok-bûn,2897,,練習寫作文章。,動
作業,作业,tsok-gia̍p,2941,,工作、操作。|老師指定給學生作的各種課業習題。,動|名
作法,作法,tsok-huat,2915,,術者施行法術。,動
作為,作为,tsok-uî,2926,,所作所為。一切的行為和舉動。|指一個人的才幹成就。,名|名
作物,作物,tsok-bu̍t,2916,,指人工栽培的植物，通常指農作物。,名
作用,作用,tsok-iōng,2903,,效果、影響。|用意、用心。,名|名
作田,作田,tsoh-tshân,2904,,種田、種稻。,動
作田人,作田人,tsoh-tshân-lâng,2905,,農人、農夫。,名
作穡,作穑,tsoh-sit,2953,,從事農務；指耕田、墾地、播種等。|工作、幹活。,動|動
作穡人,作穑人,tsoh-sit-lâng,2954,,農人、農夫。|泛指一般勞動者。,名|名
作者,作者,tsok-tsiá,2918,,創作樂曲、詩歌、文章或者其他藝術作品的人。,名
你,你,lí,2881,人,第二人稱代名詞。,代
佩服,佩服,puē-ho̍k,3567,,欽佩、敬佩。,動
佬,佬,láu,3537,人,欺騙。|套。|騙子。,動|動|名
佬仔,佬仔,láu-á,3550,,騙子。,名
佮,佮,kah,3538,人,和、及、與、跟。|搭配。|附帶。|適合、相合。,連|動|動|動
佮,佮,kap,3539,人,和、與、一起。,動
佮喙,佮喙,kah-tshuì,3577,,合胃口。適合自己個人的飲食習慣。,動
佮意,佮意,kah-ì,3580,,中意。喜歡、滿意。,動
佮股,佮股,kap-kóo,13704,,合夥。見【合股】ha̍p-kóo 條。|將幾股絲線、繩股、合成一整條。,|動
佯,佯,tènn/tìnn,3540,人,假裝、偽裝。,動
佯戇,佯戆,tènn-gōng/tìnn-gōng,3594,,裝傻。故作糊塗。,動
佯毋知,佯毋知,tènn-m̄-tsai/tìnn-m̄-tsai,3548,,裝蒜。裝不知道。,熟
佯生,佯生,tènn-tshenn/tìnn-tshinn,3555,,裝蒜。罵人假糊塗。,動
佯痟,佯痟,tènn-siáu/tìnn-siáu,3579,,裝瘋賣傻。,動
佯顛佯戇,佯颠佯戆,tènn-tian-tènn-gōng/tìnn-tian-tìnn-gōng,3592,,裝瘋賣傻。,熟
佳人,佳人,ka-jîn/ka-lîn,3547,,美人。,名
佳哉,佳哉,ka-tsài,3568,,幸虧、好在。,副
佳期,佳期,ka-kî,3578,,好日子。|結婚的日期。,名|名
佳音,佳音,ka-im,3571,,好消息。,名
使,使,sái,3541,人,運用、使用。|命令、驅使。|示意、傳達。|可以、能夠。|放任、放縱。,動|動|動|動|動
使,使,sú,3542,人,讓、令。|用。,動|動
使弄,使弄,sái-lōng,3562,,挑撥、唆使。,動
使性地,使性地,sái-sìng-tē/sái-sìng-tuē,3566,,使性子、耍脾氣。,動
使用人,使用人,sú-iōng-lâng,3556,,僕人、傭人、手下。,名
使目尾,使目尾,sái-ba̍k-bué/sái-ba̍k-bé,3557,,以眼角傳情。|用目光暗示。,動|動
使目箭,使目箭,sái-ba̍k-tsìnn,3558,,通常指女性用嬌媚動人的眼神，對別人表達情意。|用目光暗示。,動|動
來,来,lâi,3543,人,人或物往接近自己的空間移動。|表示互相交流。通常與往、去並用。|給、送來。|可取代某些動詞，表示當時情境中的某個動作。|與「會」(ē)、「袂」(bē)連用，表示能力可或不可。|接於動詞之前，表示動作意願。,動|動|動|動|助|助
來世,来世,lâi-sè,3551,,來生、下輩子。,名
來來去去,来来去去,lâi-lâi-khì-khì,3563,,來來往往。交通往來頻繁。,動
來去,来去,lâi-khì,3552,,離開此處。合音讀作laih。|去、前往。用於表示第一人稱或包含第一人稱的動作意願。合音讀作la̋i。|來往。指人與人之間的交往互動。此用法不讀合音。,動|動|動
來往,来往,lâi-óng,3565,,來回。|交際、往來、交往。,動|動
來歷,来历,lâi-li̍k,3589,,來源、背景。,名
來洗,来洗,lâi-sé,3570,,指女性月經來潮。,動
來賓,来宾,lâi-pin,3588,,出席的嘉賓。,名
來路,来路,lâi-lōo,3582,,底細。指人的身世背景或物品的來源。|引申為收入。,名|名
例,例,lē,3544,人,用來幫助說明某些狀況或道理的事物。,名
例外,例外,lē-guā,3553,,破例。在一般原則、常規之外。,名
侍候,侍候,sū-hāu,3572,,服侍、侍奉。,動
侗戇,侗戆,tòng-gōng,3595,,愚蠢無能呆笨。|笨蛋。愚蠢、呆笨的人。,動|名
供,供,king,3545,人,供述、招認。經由審問或其他方法使說出(案情原委)。|口供、供詞。,動|名
供,供,kìng,3546,人,供奉。擺上祭祀物品供奉神佛或祖先。,動
供體,供体,king-thé,3593,,以譬喻或含沙射影的方式罵人。,動
依倚,依倚,i-uá,3573,,依靠、依偎、倚靠。,動
依賴,依赖,i-nāi,3590,,依靠、仰仗。,動
侮辱,侮辱,bú-jio̍k/bú-lio̍k,4696,,欺侮羞辱。|性侵害。,動|動
侵,侵,tshim,4682,人,非法破壞別人的權益。|非法盜用別人的財物。,動|動
侵犯,侵犯,tshim-huān,4688,,非法干涉別人，並令對方權益造成損害。|以武力或外交等方式向別的國家入侵。,動|動
侵門踏戶,侵门踏户,tshim-mn̂g-ta̍h-hōo,14164,,闖入到別人家裡去進行滋擾、責難等不利於主人的事。,熟
侹,侹,thiānn,4683,人,支撐。|補強。,動|動
便,便,piān,4684,人,簡單的、便利的、現成的。|妥善。|依情況處理。|如果……就……、一……就……，表假設語氣。|撿現成的。|屎、尿等排泄物。,形|形|副|副|形|名
便便,便便,piān-piān,4693,,現成就有的。,副
便媒人,便媒人,piān-muê-lâng,4697,,名義上的媒人。|落花媒人。指現成的媒人。,名|名
便宜,便宜,pân-gî,4690,,價格低廉。|不應得的利益或額外的好處。,形|名
便所,便所,piān-sóo,4691,,廁所。源自日語。,名
便服,便服,piān-ho̍k,4692,,便衣。平常穿的衣服。,名
便當,便当,piān-tong,4702,,用飯盒裝的飯菜。源自日語。,名
便當篋仔,便当箧仔,piān-tong-kheh-á,4703,,盛飯裝菜的盒子。,名
便看,便看,piān-khuànn,4694,,看情形、看形勢。,動
便若,便若,piān-nā,14452,,凡是、只要。,連
便菜,便菜,piān-tshài,4698,,平常吃的家常菜。|現成的菜肴。,名|名
便菜飯,便菜饭,piān-tshài-pn̄g,4699,,便飯、家常飯。,名
便藥仔,便药仔,piān-io̍h-á,4704,,成藥。藥料加工調製完成的藥物。明示劑量、效能、用法，經藥劑師建議後，即可供治療疾病用。,名
便衣,便衣,piān-i,4689,,便服。一般人穿的服裝。|未穿制服執行任務的警察、軍人。,名|名
便衫,便衫,piān-sann,4695,,便服。平常居家在穿的衣服。,名
便飯,便饭,piān-pn̄g,4700,,日常吃的飯食。|現成的飯菜。,名|名
促,促,tshik,4685,人,縮短距離。,動
促歲壽,促岁寿,tshik-huè-siū/tshik-hè-siū,4701,,折壽。折損本來應該享有的壽命。,熟
俏,俏,tshio,4705,人,顏色鮮艷亮麗、花俏。,形
俗,俗,sio̍k,4706,人,便宜。,形
俗價,俗价,sio̍k-kè,4766,,便宜的價錢。,名
俗名,俗名,sio̍k-miâ,4730,,佛門子弟在俗世中，尚未出家前的名字，稱為「俗名」。|通俗的名稱、非正式名稱。,名|名
俗物,俗物,sio̍k-mi̍h/sio̍k-mn̍gh,4737,,便宜的東西。,名
俗物無好貨。,俗物无好货。,Sio̍k mi̍h bô hó huè. ,60200,,便宜沒好貨。,
俗物食破家。,俗物食破家。,Sio̍k mi̍h tsia̍h phuà ke. ,60199,,比喻貪小便宜，反而會造成更大的損失。,
俗語,俗语,sio̍k-gí/sio̍k-gú,4764,,見【俗語話】sio̍k-gí-uē 條。,
俗語話,俗语话,sio̍k-gí-uē/sio̍k-gú-uē,4765,,俚語、俚諺。指流傳已久，通俗且廣泛使用的定型短句，反映出生活或人生的經驗與願望。,名
俗貨,俗货,sio̍k-huè/sio̍k-hè,4755,,便宜貨。品質不高，價格不貴的貨品。,名
俗賣,俗卖,sio̍k-bē/sio̍k-buē,4768,,賤賣、廉讓。低價出售貨物。,動
俗麭,俗麭,sio̍k-pháng,14166,,吐司。長條形可以切片的麵包。源自日語的「食(しょく)パン」。,名
保,保,pó,4707,人,保證、擔保。|維持、持有。|日治時期計算戶數的單位。,動|動|量
保存,保存,pó-tsûn,4732,,保管收存。,動
保守,保守,pó-siú,4733,,維持舊有的傳統習慣風俗或制度而不改變。|保護看守。,形|動
保家,保家,pó-ke,4747,,保人。對於他人行為或財力負責擔保的人。,名
保庇,保庇,pó-pì,4735,,保佑、庇佑。保護幫助。,動
保正,保正,pó-tsiànn,4725,,相當於現今的村、里長。在日治時代，十戶為一甲，十甲為一保，保正為一保的民政事務管理人。,名
保溫杯,保温杯,pó-un-pue,4759,,多層金屬或塑膠做成的杯子，可以保持杯內飲水的溫度。,名
保生大帝,保生大帝,Pó-sing-tāi-tè,4727,,為傳統民間信仰的神明，又稱為大道公、吳真人。俗名為吳夲，北宋太宗年間福建泉州府同安縣人，以醫藥為業，得道後又以除瘟疫為聖行，中醫藥業常供奉為行業神。也是臺灣同安籍人士信奉的鄉土保護神。在臺灣以臺北大龍峒保安宮、蘆洲保和宮和臺南學甲慈濟宮最為著名之主祀廟宇。,名
保留,保留,pó-liû,4751,,保存留下。,動
保管,保管,pó-kuán,4762,,保護管理。,動
保衛,保卫,pó-uē,4767,,保護守衛。,動
保證,保证,pó-tsìng,4780,,對於他人行為、產資或信用負責擔保。|保障。,動|名
保證人,保证人,pó-tsìng-jîn/pó-tsìng-lîn,4781,,保人。對於他人的行為或財力，負責擔保的人。,名
保護,保护,pó-hōo,4783,,保衛、照顧。,動
保重,保重,pó-tiōng,4745,,珍重。希望別人注重身體健康。,動
保鏢,保镖,pó-pio,4782,,古時稱專以武技保護他人行旅中財物、生命安全的行業。|隨從、隨扈。私人的護衛。,名|名
保險,保险,pó-hiám,4772,,投保人按期繳納保險費給保險公司，當投保人遇到意外災害而受到損失時，保險公司將依照約定的保額，賠償給受益人。|保證、保障。,名|名
保領,保领,pó-niá,14167,,擔保、保證。,動
保養場,保养场,pó-ióng-tiûnn,4770,,供汽車、機車或其他交通工具修理保養的地方。,名
信,信,sìn,4708,人,相信不懷疑。|把言語寫成文字傳達給特定對象的書面文件。|信仰。,動|名|動
信仰,信仰,sìn-gióng,4728,,對某種主張、主義或宗教的極度信服和敬慕。,名
信任,信任,sìn-jīm/sìn-līm,4729,,信任、相信。相信某人，而且敢於有所託付。,動
信徒,信徒,sìn-tôo,4748,,弟子。信仰某一宗教、某種主義、某種學派、或追隨某偉人的人。,名
信心,信心,sìn-sim,4721,,相信願望、理想必能實現的心理。|信任或相信神明的心。,名|名
信用,信用,sìn-iōng,4726,,誠實不欺的美德。|相信、信任。,名|動
信篤,信笃,sìn-táu,4771,,相信。,動
信號,信号,sìn-hō,4760,,一種代替語言來傳令報告的符號。,名
修,修,siu,5709,人,修理、整治。|學習。,動|動
修改,修改,siu-kái,5717,,修正、改正。,動
修整,修整,siu-tsíng,5724,,修理、整頓。,動
修正,修正,siu-tsìng,5715,,修訂、改正。,動
修理,修理,siu-lí,5720,,將損壞的物品恢復到原來的形狀或作用。|以打罵來管教不正當的行為。,動|動
修行,修行,siu-hīng,5716,,指學道或是修習佛法。|修身養性。,動|動
修補,修补,siu-póo,5721,,修整補缺。,動
修面,修面,siu-bīn,5718,,修臉、刮臉。修去臉上汗毛、鬍鬚。,動
修養,修养,siu-ióng,5723,,涵養。修治涵養使學問道德臻於精美完善。|品德、風度。,動|名
俱樂部,俱乐部,khū-lo̍k-pōo,5722,,某種團體共同娛樂、聚會的場所。源自英語 club。,名
俺,俺,án,5710,人,我的。通常用在自己的尊親屬，可表述也可面稱。|我們。同「咱」(lán)。,代|代
倉,仓,tshng,5711,人,倉庫。,名
倉庫,仓库,tshng-khòo,5719,,儲藏糧食或物資的建築物。,名
個,个,kò,5712,人,月份的計算單位。,量
個外月,个外月,kò-guā-gue̍h/kò-guā-ge̍h,13733,,一個多月。,時
倌,倌,kuann,5713,人,敬語，置於某些稱謂之後，以表示尊敬。|敬語，置於人名之後，以表示尊敬，通常用於女士。,名|名
倍,倍,puē,5714,人,同一數目重複增加。,名
倒,倒,tó,5725,人,人或豎立的物體因本身或外來因素而橫躺下來。|倒閉、倒掉。,動|動
倒,倒,tò,5726,人,把物體或液體傾倒出去。|左邊。|回。|反方向。,動|名|動|副
倒剾,倒剾,tò-khau,5780,,反諷。用反面的話暗中嘲笑。,動
倒去,倒去,tò--khì,5750,,回去。,動
倒反,倒反,tò-píng,5745,,倒反、倒過來。,副
倒吊,倒吊,tò-tiàu,5754,,把人或物品倒懸。|窄歧鬚鮠。魚名。雙背鰭鱨科，為熱帶淡水魚，體延長而略側扁，有鬚三對，口部明顯向下且稍伸長，有時會腹上背下顛倒著游動，很像倒吊在水中，故名。會啃食石頭上的藻類，為商業性觀賞用魚。,動|名
倒吊子,倒吊子,tò-tiàu-tsí,14227,,生長方向顛倒的檳榔。其植物鹼含量為一般檳榔的兩倍，誤食後常會出現中毒症狀，甚至死亡。,名
倒吊無墨水。,倒吊无墨水。,Tò tiàu bô ba̍k-tsuí. ,60235,,比喻人沒學問，胸無點墨。,
倒向,倒向,tò-hiànn,5755,,往後傾倒。見【倒摔向】tò-siàng-hiànn 條。,
倒店,倒店,tó-tiàm,5759,,指店舖倒閉或破產。,動
倒彈,倒弹,tò-tuānn,5787,,厭惡噁心、情緒的反彈。|物體碰到障礙物而彈回來。,動|動
倒手,倒手,tò-tshiú,5746,,左手。,名
倒手爿,倒手爿,tò-tshiú-pîng,5748,,左邊、左側。,名
倒拗,倒拗,tò-áu,14228,,反折。|退潮。,動|動
倒摔向,倒摔向,tò-siàng-hiànn,5785,,倒栽蔥。仰面摔倒，整個身體往後傾而摔倒。,動
倒擔,倒担,tó-tànn,5792,,見【倒店】tó-tiàm 條。,
倒數,倒数,tó-siàu,5788,,倒債。欠錢不還。|呆帳。收不回來的帳。,動|名
倒會仔,倒会仔,tó-huē-á/tó-hē-á,5781,,民間的互助會因種種因素，導致無法支付所應付的會款時稱「倒會仔」。有會頭倒會，也有會員倒會的情形。,動
倒爿,倒爿,tò-pîng,5749,,左邊、左側。,名
倒覆,倒覆,tò-phak,5803,,俯臥、趴下。臉朝下的臥倒。,動
倒貼,倒贴,tò-thiap,5778,,虧本、賠本。,動
倒踏,倒踏,tò-ta̍h,5789,,反方向的。,形
倒轉,倒转,tò-tńg,5804,,返回、回去。|倒反過來。,動|動
倒轉去,倒转去,tò-tńg--khì,14230,,回去、返家。,動
倒退,倒退,tò-thè,5770,,倒退。往後退。,動
倒退攄,倒退摅,tò-thè-lu,13734,,倒退著挪動。|旭蟹，又名海臭蟲。因其行走時以尾殼方向倒著走，而得名「倒退攄」，或稱作「倒退鱟(tò-thè-hāu)」。,動|名
倒面,倒面,tò-bīn,5765,,左面、左邊。|背面、反面。,位|位
倒頭,倒头,tò-thâu,5797,,顛倒地、倒反地。|反方向、逆序。,副|副
倒頭栽,倒头栽,tò-thâu-tsai,5799,,倒栽蔥、四腳朝天。人摔倒的時候，雙腳朝天的動作。,動
倒頭槌,倒头槌,tò-thâu-thuî,14229,,回馬槍。比喻冷不防的反擊或出賣等。,名
倒頭行,倒头行,tò-thâu-kiânn,5798,,往反方向走。,動
倖,幸,sīng,5727,人,寵、溺愛、放縱。,動
倖豬夯灶，倖囝不孝。,幸猪夯灶，幸囝不孝。,"Sīng ti giâ tsàu, sīng kiánn put-hàu. ",60234,,比喻子女要加以管教，不能放縱，否則會變成不孝。,
候脈,候脉,hāu-me̍h,5769,,把脈。見【節脈】tsat-me̍h 條。,動
候補,候补,hāu-póo,5783,,等候補位。|等候補位的人。,動|名
候選人,候选人,hāu-suán-jîn/hāu-suán-lîn,5794,,在選舉前預先登記或提名做為被選舉對象的人。,名
倚,倚,uá,5728,人,貼近、靠近、將近。|依附。|參照、模仿。,動|動|動
倚壁,倚壁,uá-piah,5791,,靠著牆壁。,動
倚山食山,倚山食山,uá-suann-tsia̍h-suann,14454,,住在山中就靠山謀生。,熟
倚年,倚年,uá-nî,5756,,快過年的時候。,副
倚意,倚意,uá-ì,14232,,意思接近。,形
倚晝,倚昼,uá-tàu,5775,,傍晌、晌午。接近中午的時候。,名
倚蹛,倚蹛,uá-tuà,14233,,暫時借住、寄宿。,動
倚近,倚近,uá-kīn/uá-kūn,5764,,靠近、接近。,動
倚靠,倚靠,uá-khò,5790,,憑靠。靠在某一物體上。|投靠、依靠。依靠別人，以求生存。,動|動
借,借,tsioh,5729,人,兩個人之間借貸關係的總稱。,動
借人,借人,tsioh--lâng,5742,,將東西借給別人。,動
借問,借问,tsioh-mn̄g,5771,,請問。向對方討教、請問的客套話。,動
借用,借用,tsioh-iōng,5751,,暫時使用。,動
借蹛,借蹛,tsioh-tuà,5805,,借住、寓居。暫時借住某一個地方。,動
借過,借过,tsioh-kuè/tsioh-kè,5784,,請求讓路的客套話。,動
借錢,借钱,tsioh tsînn,5795,,借用金錢款項。,動
倩,倩,tshiànn,5730,人,聘僱、僱用。僱人來幫忙做事。,動
倩的,倩的,tshiànn--ê,5763,,被雇用的人，通常指傭人或店員。,名
倫理,伦理,lûn-lí,5776,,人與人相處的各種道德準則。|人與人之間的親疏輩分關係。,名|名
倯,倯,sông,5731,人,土裡土氣、傻裡傻氣、俗氣。,形
值,值,ta̍t,5732,人,價值。|比得過、比得上。,名|動
值,值,ti̍t,5733,人,物品的價值。|輪到、輪流。,名|動
值得,值得,ta̍t-tit,5773,,所付出的代價和所得到的回報相當。,動
值班,值班,ti̍t-pan,5768,,由許多人輪流負責，在規定的時間內執行勤務。,動
值錢,值钱,ta̍t-tsînn,5796,,有價值。,形
偃,偃,ián,6931,人,二人角力，將對方摔倒。,動
偃倒,偃倒,ián-tó,6992,,推倒。,動
假,假,ká,6932,人,閒暇或是不用上班、上學的日子。,名
假,假,ké,6933,人,不真實的、虛偽的。|偽裝、裝作。,形|動
假仙,假仙,ké-sian,6960,,假裝、裝蒜。,動
假仙假觸,假仙假触,ké-sian-ké-tak,6962,,假惺惺、佯裝。,熟
假使,假使,ká-sú,6981,,假如、如果。,連
假包,假包,ké-pâu,6963,,冒牌貨、贗品。,名
假喙齒,假喙齿,ké-tshuì-khí,7002,,假牙。,名
假好衰,假好衰,ké-hó-sue,6975,,假好心、貓哭耗子假慈悲。,熟
假影,假影,ké-iánn,7016,,假裝、假的。,副
假死,假死,ké-sí,6976,,詐死、裝死。|假惺惺、裝蒜。,動|動
假死假活,假死假活,ké-sí-ké-ua̍h,6978,,裝瘋賣傻。故意裝成痴呆瘋癲的樣子。 ,熟
假無意,假无意,ké-bô-ì,7005,,假裝無辜。,動
假痟,假痟,ké-siáu,7006,,裝瘋賣傻。|因裝瘋賣傻程度太過，而使人感到行為過份，故引申為舉止過份，不懂節制。,動|動
假銀票,假银票,ké-gîn-phiò/ké-gûn-phiò,7014,,偽鈔。,名
假鬼假怪,假鬼假怪,ké-kuí-ké-kuài,6996,,裝神弄鬼、裝模作樣。,熟
假𠢕,假𠢕,ké-gâu,6944,,自以為是、自作聰明。|逞強、逞能。,動|動
偉大,伟大,uí-tāi,6948,,形容事物的成就卓越非凡，影響力極大。,形
偌,偌,guā,6934,人,多少。,副
偌久,偌久,guā-kú,14304,,多久。通常問時間經過或需要多久。,疑
偌濟,偌济,guā-tsē/guā-tsuē,7022,,多少。,名
偌爾,偌尔,guā-nī,7012,,多麼。加重語氣時唸作guā-á-nī。,副
偏,偏,phian,6935,人,歪斜、不正。,形
偏,偏,phinn,6936,人,占便宜。,動
偏偏,偏偏,phian-phian,6997,,與事實或願望相反。|不巧。不恰巧，不能配合時機。|故意、唱反調。,副|副|副
偏偏仔,偏偏仔,phian-phian-á,6998,,故意與要求相反。,副
偏僻,偏僻,phian-phiah,7015,,偏離某一地區的中心位置或主要部分較遠。,形
偏名,偏名,phian-miâ,6974,,綽號、小名。非正式的名字。,名
偏心,偏心,phian-sim,6953,,偏袒。袒護一方，對某一方存私心。,動
偏頭,偏头,phinn-thâu,7019,,利益、好處。,名
做,做,tsò/tsuè,6937,人,進行某一件事情。|擔任或從事某種行業、工作。|製做。|身為、具有、成為一種身分。|招惹。|任由、儘管、只管。,動|動|動|動|動|介
做人,做人,tsò--lâng/tsuè--lâng,6945,,女孩子許配給人家。,動
做人,做人,tsò-lâng/tsuè-lâng,6946,,為人。指做人的態度、為人處世。,動
做人情,做人情,tsò-jîn-tsîng/tsuè-lîn-tsîng,6947,,送人情、賣人情。給予他人恩惠，使人感激。,動
做伙,做伙,tsò-hué/tsuè-hé,6971,,一起、一塊兒。|生活上的接觸、往來。,副|動
做伴,做伴,tsò-phuānn/tsuè-phuānn,14656,,作伴、陪伴。,動
做公親，貼本。,做公亲，贴本。,"Tsò kong-tshin, thiap pún. ",60258,,為人仲裁還貼錢。比喻賠了夫人又折兵。,
做功德,做功德,tsò-kong-tik/tsuè-kong-tik,6965,,行善、做好事。|請和尚或道士做法事。,動|動
做司公,做司公,tsò-sai-kong/tsuè-sai-kong,6964,,做法事。由道士來執行道教的某些特定儀式。,動
做囮,做囮,tsò-buê/tsuè-buê,14306,,做誘餌。用假的、同類的東西來引誘。|在騙局、賭局中，設置引人上鉤的角色叫做「做囮」。,動|動
做大水,做大水,tsò-tuā-tsuí/tsuè-tuā-tsuí,6951,,水災、淹水。,動
做官若清廉，食飯著攪鹽。,做官若清廉，食饭着搅盐。,"Tsò kuann nā tshing-liâm, tsia̍h-pn̄g tio̍h kiáu iâm. ",60260,,當官如果清廉，生活就會清苦。比喻無官不貪的情況。,
做官騙厝內，做生理騙熟似。,做官骗厝内，做生理骗熟似。,"Tsò kuann phiàn tshù-lāi, tsò-sing-lí phiàn si̍k-sāi. ",60261,,意謂為官無不詐，經商無不奸。,
做客,做客,tsò-kheh/tsuè-kheh,6987,,回門、歸寧。|寄居他鄉。,動|動
做工,做工,tsò-kang/tsuè-kang,6949,,幹活。從事勞力的工作。,動
做店面,做店面,tsò tiàm-bīn/tsuè tiàm-bīn,6983,,當作、成為店面。,動
做忌,做忌,tsò-kī/tsuè-kī,6980,,在逝世者去世的紀念日擺設供品祭拜。,動
做戲,做戏,tsò-hì/tsuè-hì,7021,,演戲。,動
做戲的欲煞，看戲的毋煞。,做戏的欲煞，看戏的毋煞。,"Tsò-hì--ê beh suah, khuànn-hì--ê m̄ suah. ",60263,,形容戲演得太好了，觀眾意猶未盡。,
做旬,做旬,tsò-sûn/tsuè-sûn,6977,,人過世後，每七天要做一旬，請和尚尼姑來誦經，並且燒香祭拜、焚燒紙錢給故人用，共有七旬，四十九天。,動
做月內,做月内,tsò-gue̍h-lāi/tsuè-ge̍h-lāi,6958,,坐月子。婦女生產後一個月內的休息和調養。,動
做歹,做歹,tsò-pháinn/tsuè-pháinn,6954,,作惡、為非作歹。,動
做水,做水,tsò-tsuí/tsuè-tsuí,14305,,淹水、鬧水災。見【做大水】tsò-tuā-tsuí 條。,
做法,做法,tsò-huat/tsuè-huat,6985,,製作物品或進行事務的方法。,名
做牙,做牙,tsò-gê/tsuè-gê,6959,,人們祭拜土地公，祈求一家大小平安的民間習俗，稱為「做牙」。二月初二為「頭牙」(thâu-gê)，十二月十六日為「尾牙」(bué-gê)。,名
做牛著拖，做人著磨。,做牛着拖，做人着磨。,"Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. ",60259,,比喻做人本來就要勞苦，就像做牛就要拖犁、拖車一樣。,
做生日,做生日,tsò-senn-ji̍t/tsuè-sinn-li̍t,6968,,慶生、過生日。舉行生日的慶祝活動。,動
做生理,做生理,tsò-sing-lí/tsuè-sing-lí,6970,,做生意。經營商業，買賣物品。,動
做痢,做痢,tsò-lī,7007,,患瘧疾、得瘧疾。「痢」指的不是「痢疾」，而是由瘧蚊傳播的急性傳染病「瘧疾」。,動
做瘦氣,做瘦气,tsò-sán-khuì/tsuè-sán-khuì,7017,,調情。,動
做竅,做窍,tsò-khiò/tsuè-khiò,14307,,用巫術害人。,動
做肉餅,做肉饼,tsò-bah-piánn/tsuè-bah-piánn,14628,,當擋箭牌、當墊背的、當炮灰。指在利益分配或激烈競爭過程中被犧牲的個人或組織。,動
做臭人,做臭人,tsò-tshàu-lâng/tsuè-tshàu-lâng,6993,,當壞人、扮黑臉。,動
做色,做色,tsò-sik/tsuè-sik,6979,,染色。,動
做莊,做庄,tsò-tsong/tsuè-tsong,7001,,賭博時做莊家。,動
做著歹田望下冬，娶著歹某一世人。,做着歹田望下冬，娶着歹某一世人。,"Tsò-tio̍h pháinn tshân bāng ē tang, tshuā-tio̍h pháinn bóo tsi̍t-sì-lâng. ",60262,,種到不好的田可以期待下一個收穫季，娶到不好的太太就一輩子沒有希望。勸人擇偶要非常謹慎。,
做親情,做亲情,tsò-tshin-tsiânn/tsuè-tshin-tsiânn,7018,,作媒。替人說媒提親，撮合婚姻。|結親。締結成姻親。,動|動
做議量,做议量,tsò-gī-niū/tsuè-gī-niū,7024,,消遣、排遣。排解愁悶、消磨時間。,動
做譴損,做谴损,tsò-khiàn-sńg/tsuè-khiàn-sńg,7025,,作法。施用法術以趨吉避凶或以巫蠱陷害別人。,動
做醮,做醮,tsò-tsiò/tsuè-tsiò,7023,,建醮。僧道設壇祈神求福的過程。通常選定一段特定的日期，設立祭壇，為新廟落成、神像開光、祈福、超渡亡魂等做法事。在做醮時通常需要齋戒，祈求做醮成功、合境平安。,動
做陣,做阵,tsò-tīn/tsuè-tīn,6994,,一起、結伴。,副
做頭,做头,tsò-thâu/tsuè-thâu,7020,,領頭、帶頭。|當先。趕在最前面。,動|動
做風颱,做风台,tsò-hong-thai/tsuè-hong-thai,6991,,刮颱風。,動
做鬼,做鬼,tsò-kuí/tsuè-kuí,6995,,當鬼。人死後變成鬼。|當鬼、扮鬼。用意在嚇人，也指一種小孩子的遊戲。一人扮鬼，其他人必須躲起來或逃跑，以免被抓到。被抓者和扮鬼者交換身分，繼續抓人。,動|動
停,停,thîng,6938,人,運動中的東西不再運動。,動
停手,停手,thîng-tshiú,6955,,住手。停止進行的動作。,動
停止,停止,thîng-tsí,6956,,不繼續、不進行。,動
停睏,停困,thîng-khùn,7008,,停止、休息。,動
停跤,停跤,thîng-kha,7010,,歇腳、休息。,動
停電,停电,thîng-tiān,7011,,停止供電。,動
偝,偝,āinn/iāng,6939,人,背。專指背人。,動
偝巾,偝巾,āinn-kin/iāng-kun,6950,,背小孩的背巾。可包住小孩的背部及臀部，再把背帶纏繞在身上綁好，將小孩子背在背上。,名
健丟,健丢,kiān-tiu,6972,,伶俐、靈活。形容小孩子天真活潑、動作俐落。|形容人的言行怪異可笑。,形|形
健全,健全,kiān-tsuân,6973,,形容事務完善而沒有缺陷。,形
健康,健康,kiān-khong,6999,,形容人的生理及心理機能正常而強壯，沒有缺陷和疾病。,形
偷,偷,thau,6940,人,竊取。|私底下、不光明正大。,動|副
偷來暗去,偷来暗去,thau-lâi-àm-khì,6982,,私下交往、秘密往來。,熟
偷偷仔,偷偷仔,thau-thau-á,14657,,偷偷地。在不被他人察覺的情況下行動。,副
偷咬雞仔,偷咬鸡仔,thau-kā-ke-á/thau-kā-kue-á,6986,,紅杏出牆。指已婚婦女與其他男子有不正常的交往關係。,熟
偷工減料,偷工减料,thau-kang-kiám-liāu,6952,,不依照生產或工程所規定的質量要求，而削減工序或用料。也比喻做事取巧。,熟
